Date,Value
1995-03-31,4989.46512762153
1995-06-30,5517.93835270339
1995-09-30,5740.83975467841
1995-12-31,6306.11869345192
1996-03-31,7064.90134994808
1996-06-30,7273.5846241084
1996-09-30,7566.71058661778
1996-12-31,7666.7972685548
1997-03-31,8641.18674630903
1997-06-30,9208.63388579924
1997-09-30,9642.56505576208
1997-12-31,10578.0196198651
1998-03-31,11930.7540983607
1998-06-30,12034.4080338266
1998-09-30,12069.1604826089
1998-12-31,11666.7155246122
1999-03-31,11309.3218330885
1999-06-30,11772.6001863933
1999-09-30,12197.6632599204
1999-12-31,12489.8552061238
2000-03-31,14587.3234924468
2000-06-30,15550.9390589846
2000-09-30,15743.3010980155
2000-12-31,16847.6389917512
2001-03-31,16173.0086385076
2001-06-30,16663.9494833525
2001-09-30,16351.7853819361
2001-12-31,16704.7483821642
2002-03-31,16517.3014205959
2002-06-30,17363.7977884796
2002-09-30,16679.4903209998
2002-12-31,17292.3442581936
2003-03-31,17058.5553327604
2003-06-30,16764.7612488522
2003-09-30,17729.5000452039
2003-12-31,17805.3296418065
2004-03-31,17187.8441471432
2004-06-30,19849.5210871003
2004-09-30,19630.0976580161
2004-12-31,19865.5708280195
2005-03-31,20353.3662800805
2005-06-30,21558.436841723
2005-09-30,22438.5606927786
2005-12-31,24052.4366571312
2006-03-31,26160.3817868878
2006-06-30,26688.6682538878
2006-09-30,27630.1439158257
2006-12-31,29842.1175736785
2007-03-31,31503.7181895376
2007-06-30,32320.8788317327
2007-09-30,33464.6965699208
2007-12-31,35785.179313361
2008-03-31,39177.8852876199
2008-06-30,41118.3445846786
2008-09-30,41953.5382848161
2008-12-31,35819.6664719316
2009-03-31,29130.5681515071
2009-06-30,28791.141657121
2009-09-30,31134.2369812759
2009-12-31,31748.4489160378
2010-03-31,34873.0091048183
2010-06-30,37685.2953623261
2010-09-30,39478.6339711128
2010-12-31,40566.707003479
2011-03-31,41788.3679675621
2011-06-30,43412.0618244267
2011-09-30,42218.5084402919
2011-12-31,41887.0088447531
2012-03-31,43996.763448227
2012-06-30,42886.5125014673
2012-09-30,43060.5328047189
2012-12-31,43870.4131507915
2013-03-31,42973.4106549882
2013-06-30,42471.9403553904
2013-09-30,44437.6956941404
2013-12-31,44392.8511695697
2014-03-31,46170.2076810936
2014-06-30,46705.2682107284
2014-09-30,46958.8952499581
2014-12-31,47476.016337386
2015-03-31,47405.5478700568
2015-06-30,49462.6372819999
2015-09-30,49516.2260906942
2015-12-31,48790.2007693029
2016-03-31,48198.5476037753
2016-06-30,50058.9392310683
2016-09-30,50848.9061023123
2016-12-31,51782.4041294566
2017-03-31,56119.9833356478
2017-06-30,56883.6243712632
2017-09-30,57092.1624351175
2017-12-31,59225.5800765559
2018-03-31,61784.3367151608
2018-06-30,62559.0878164371
2018-09-30,63292.5962074735
2018-12-31,65259.1352080571
2019-03-31,65398.4796354845
2019-06-30,66292.5530672769
2019-09-30,66275.40292701
2019-12-31,65718.924214504
2020-03-31,66845.1469669989
2020-06-30,51466.0314922158
2020-09-30,63756.4001531083
2020-12-31,66928.2812812146
2021-03-31,70696.3503970786
2021-06-30,75565.1233136826
2021-09-30,80178.6426052868
2021-12-31,86797.6089922682
2022-03-31,93821.436296777
2022-06-30,100718.029259897
2022-09-30,103089.234142125
2022-12-31,103251.06824047
2023-03-31,99894.2036065504
2023-06-30,98016.8408058899
2023-09-30,96089.1269559033
2023-12-31,98373.6736125252
2024-03-31,99127.1317471673
2024-06-30,102229.211236164
2024-09-30,103859.547545117
2024-12-31,103540.908246657
2025-03-31,107767.72581221
2025-06-30,106960.319136454
2025-09-30,108357.374354157
