"DATE","TIME PERIOD","HICP - All-items excluding energy and food (ICP.A.U2.N.XEF000.4.INW)"
"1996-12-31","1996","622.03"
"1997-12-31","1997","620.74"
"1998-12-31","1998","620.65"
"1999-12-31","1999","641.57"
"2000-12-31","2000","702.91"
"2001-12-31","2001","714.02"
"2002-12-31","2002","722.32"
"2003-12-31","2003","724.59"
"2004-12-31","2004","723.43"
"2005-12-31","2005","718.40"
"2006-12-31","2006","715.25"
"2007-12-31","2007","708.27"
"2008-12-31","2008","706.85"
"2009-12-31","2009","710.97"
"2010-12-31","2010","712.74"
"2011-12-31","2011","703.39"
"2012-12-31","2012","699.43"
"2013-12-31","2013","696.68"
"2014-12-31","2014","694.36"
"2015-12-31","2015","697.33"
"2016-12-31","2016","707.28"
"2017-12-31","2017","709.58"
"2018-12-31","2018","708.08"
"2019-12-31","2019","708.54"
"2020-12-31","2020","710.78"
"2021-12-31","2021","687.39"
"2022-12-31","2022","681.82"
"2023-12-31","2023","697.94"
"2024-12-31","2024","706.17"
"2025-12-31","2025","712.76"
