"DATE","TIME PERIOD","HICP - Energy (ICP.A.U2.N.NRGY00.4.INW)"
"1996-12-31","1996","90.57"
"1997-12-31","1997","92.66"
"1998-12-31","1998","92.73"
"1999-12-31","1999","87.29"
"2000-12-31","2000","84.34"
"2001-12-31","2001","90.41"
"2002-12-31","2002","81.23"
"2003-12-31","2003","82.49"
"2004-12-31","2004","81.32"
"2005-12-31","2005","85.97"
"2006-12-31","2006","91.99"
"2007-12-31","2007","96.15"
"2008-12-31","2008","98.15"
"2009-12-31","2009","95.71"
"2010-12-31","2010","95.59"
"2011-12-31","2011","103.64"
"2012-12-31","2012","109.87"
"2013-12-31","2013","109.62"
"2014-12-31","2014","108.07"
"2015-12-31","2015","106.06"
"2016-12-31","2016","97.40"
"2017-12-31","2017","94.51"
"2018-12-31","2018","96.19"
"2019-12-31","2019","101.32"
"2020-12-31","2020","98.49"
"2021-12-31","2021","94.97"
"2022-12-31","2022","109.30"
"2023-12-31","2023","102.31"
"2024-12-31","2024","99.12"
"2025-12-31","2025","93.98"
