"DATE","TIME PERIOD","HICP - All-items excluding energy and food (ICP.A.PL.N.XEF000.4.INW)"
"1996-12-31","1996","449.13"
"1997-12-31","1997","447.13"
"1998-12-31","1998","466.11"
"1999-12-31","1999","491.95"
"2000-12-31","2000","485.80"
"2001-12-31","2001","495.99"
"2002-12-31","2002","505.50"
"2003-12-31","2003","514.06"
"2004-12-31","2004","563.64"
"2005-12-31","2005","558.71"
"2006-12-31","2006","567.94"
"2007-12-31","2007","567.16"
"2008-12-31","2008","565.12"
"2009-12-31","2009","568.88"
"2010-12-31","2010","572.87"
"2011-12-31","2011","564.50"
"2012-12-31","2012","560.54"
"2013-12-31","2013","570.07"
"2014-12-31","2014","580.09"
"2015-12-31","2015","582.77"
"2016-12-31","2016","614.92"
"2017-12-31","2017","615.93"
"2018-12-31","2018","613.14"
"2019-12-31","2019","621.66"
"2020-12-31","2020","628.45"
"2021-12-31","2021","620.63"
"2022-12-31","2022","608.05"
"2023-12-31","2023","600.07"
"2024-12-31","2024","602.30"
"2025-12-31","2025","621.17"
